Question,Answer
تفاوت بین معاملات تجارتی که توسط تاجر انجام می‌شود و معاملاتی که برای رفع حوائج شخصی انجام می‌شوند چیست؟,معاملات تجارتی شامل خرید، فروش، دلالی و سایر فعالیت‌های تجاری است که به منظور کسب سود انجام می‌شوند، در حالی که معاملات برای رفع حوائج شخصی شامل فعالیت‌هایی نیست که به منظور کسب سود تجاری انجام می‌شوند. (ماده 2 و ماده 3)
چگونه دفتر روزنامه و دفتر کل باید نگهداری شوند و چه اطلاعاتی باید در آنها ثبت شود؟,دفتر روزنامه باید روزانه تمام مطالبات، دیون، و داد و ستد تجارتی ثبت شود، در حالی که دفتر کل باید حداقل هفته‌ای یک بار کلیه معاملات را از دفتر روزنامه استخراج و ثبت کند. (ماده 7 و ماده 8)
نقش دفتر دارایی و دفتر کپیه در نگهداری سوابق تجاری چیست؟,دفتر دارایی صورت جامعی از دارایی‌ها و دیون سالانه را ارائه می‌دهد، در حالی که دفتر کپیه برای ثبت تمام مراسلات و مخابرات تجاری استفاده می‌شود. (ماده 9 و ماده 10)
اهمیت ثبت دفاتر تجاری پیش از استفاده چیست و چه کسانی باید این کار را انجام دهند؟,ثبت دفاتر تجاری پیش از استفاده برای احراز صحت و دقت آنها ضروری است و باید توسط نماینده اداره ثبت انجام شود. (ماده 11 و ماده 12)
چه محدودیت‌هایی برای نوشتن در دفاتر تجاری وجود دارد و تخلف از این محدودیت‌ها چه پیامدهایی دارد؟,محدودیت‌هایی مانند ممنوعیت تراشیدن، حک‌کردن، و جای سفید گذاشتن بیش از حد معمول وجود دارد. تخلف از این محدودیت‌ها می‌تواند منجر به جرایم نقدی شود. (ماده 13 و ماده 15)
شرایط ثبت نام تجار در دفتر ثبت تجارتی چیست و چه کسانی مشمول این شرط می‌شوند؟,تمامی اشخاصی که به شغل تجارت اشتغال دارند باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند، این شامل اشخاص ایرانی و خارجی می‌شود. (ماده 16 و ماده 17)
چه اطلاعاتی باید توسط تاجر در اسناد تجاری خود ذکر شود و چه مقرراتی برای شناسایی کسبه جزء وجود دارد؟,تاجر باید در اسناد خود تصریح کند که تحت چه نمره‌ای به ثبت رسیده است. شناسایی کسبه جزء مطابق مقررات نظامنامه وزارت عدلیه انجام می‌گیرد. (ماده 18 و ماده 19)
انواع شرکت‌های تجارتی و تعریف آنها چگونه است؟,انواع شرکت‌های تجارتی شامل شرکت سهامی، با مسئولیت محدود، تضامنی، مختلط غیر سهامی، مختلط سهامی، نسبی، و تعاونی تولید و مصرف می‌شوند. (ماده 20 و ماده 21)
تفاوت بین شرکت‌های سهامی عام و خاص چیست و چه شرایطی برای تأسیس آنها وجود دارد؟,شرکت‌های سهامی عام به عموم مردم اجازه می‌دهند تا در آن سهام داشته باشند، در حالی که شرکت‌های سهامی خاص تنها با تعداد محدودی از سهامداران کار می‌کنند. شرایط تأسیس شامل ثبت رسمی و رعایت مقررات خاص است. (ماده 20 و ماده 22)
چگونه می‌توان شرکتی را به ثبت رساند و چه مدارکی لازم است؟,برای ثبت یک شرکت، لازم است که اسناد و مدارک مربوط به تأسیس شرکت ارائه و مطابق با مقررات ثبت شوند. (ماده 22 و ماده 23)
